Merkmal;Auspraegung;Beschreibung;Hinweis;erge;erg;unk
Baumarten  (Baumartengruppe 'Hartlaubholz');Elsbeere ELS;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;2;Keine;2
Baumarten  (Baumartengruppe 'Hartlaubholz');Esche (spec.) ES;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-1;Keine;0
Baumarten  (Baumartengruppe 'Hartlaubholz');Kirsche (spec.) KIR;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;1;Keine;0
Baumarten  (Baumartengruppe 'Hartlaubholz');Linde (spec.) LI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0;Keine;0
Baumarten  (Baumartengruppe 'Hartlaubholz');Nussbaum (spec.) NUS;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;2;Keine;2
Baumarten  (Baumartengruppe 'Hartlaubholz');Robinie ROB;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-2;Keine;0
Baumarten  (Baumartengruppe 'Hartlaubholz');Rosskastanie RKA;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-0,5;Keine;1
Baumarten  (Baumartengruppe 'Hartlaubholz');Sommerlinde SLI;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0,5;Keine;1
Baumarten  (Baumartengruppe 'Hartlaubholz');sonstiges Hartlaubholz SLBH;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;0,5;Keine;1
Baumarten  (Baumartengruppe 'Hartlaubholz');Ulme (spec.) UL;Baumarten in einem Bestand, unter Berücksichtigung der Konkurrenzstärke, Sicherheit, Pfleglichkeit, Leistung und Klimasensitivität (in Anlehnung an Aldinger und Michiels (2015) sowie Hertel (2009));Wie sind die Baumarten innerhalb der Baumartengruppe 'Hartlaubholz' zu bewerten? Das Baumartenspektrum bildet lediglich einen Teil der bestandesbildenden Haupt- und Nebenbaumarten ab. Sie können, wenn gewünscht Baumarten im Feld 'Ihre Anmerkungen' gern ergänzen und mit einer schriftlichen Bewertung versehen.;-2;Keine;0
